,Task File,Article Number,Question Label,Answer Label
0,Evidence,1712,T1.Q1,T1.Q1.A1
1,Evidence,1712,T1.Q10,T1.Q10.A5
2,Evidence,1712,T1.Q11,T1.Q11.A2
3,Evidence,1712,T1.Q12,T1.Q12.A3
4,Evidence,1712,T1.Q13,T1.Q13.A5
5,Evidence,1712,T1.Q14,T1.Q14.A7
6,Evidence,1712,T1.Q3,T1.Q3.A1
7,Evidence,1712,T1.Q4,T1.Q4.A4
8,Evidence,1712,T1.Q5,T1.Q5.A5
9,Evidence,1712,T1.Q6,T1.Q6.A3
10,Evidence,1712,T1.Q7,T1.Q7.A1
11,Evidence,1712,T1.Q8,T1.Q8.A4
12,Evidence,1712,T1.Q9,T1.Q9.A1
13,Evidence,1712,T1.Q2.A1,1
14,Evidence,1712,T1.Q2.A3,0
15,Evidence,1712,T1.Q2.A8,0
16,Evidence,1712,T1.Q2.A6,0
17,Evidence,1712,T1.Q2.A2,0
18,Evidence,1712,T1.Q2.A7,0
19,Evidence,1712,T1.Q2.A4,0
20,Evidence,1712,T1.Q2.A5,0
21,Evidence,100000,T1.Q1,T1.Q1.A1
22,Evidence,100000,T1.Q10,T1.Q10.A4
23,Evidence,100000,T1.Q11,T1.Q11.A4
24,Evidence,100000,T1.Q12,T1.Q12.A2
25,Evidence,100000,T1.Q13,T1.Q13.A4
26,Evidence,100000,T1.Q14,T1.Q14.A7
27,Evidence,100000,T1.Q3,T1.Q3.A1
28,Evidence,100000,T1.Q4,T1.Q4.A2
29,Evidence,100000,T1.Q5,T1.Q5.A2
30,Evidence,100000,T1.Q6,T1.Q6.A3
31,Evidence,100000,T1.Q7,T1.Q7.A1
32,Evidence,100000,T1.Q8,T1.Q8.A4
33,Evidence,100000,T1.Q9,T1.Q9.A1
34,Evidence,100000,T1.Q2.A1,0
35,Evidence,100000,T1.Q2.A8,0
36,Evidence,100000,T1.Q2.A3,0
37,Evidence,100000,T1.Q2.A6,0
38,Evidence,100000,T1.Q2.A2,0
39,Evidence,100000,T1.Q2.A7,0
40,Evidence,100000,T1.Q2.A4,0
41,Evidence,100000,T1.Q2.A9,0
42,Evidence,100000,T1.Q2.A5,0
43,Evidence,100001,T1.Q1,T1.Q1.A3
44,Evidence,100001,T1.Q10,T1.Q10.A2
45,Evidence,100001,T1.Q11,T1.Q11.A4
46,Evidence,100001,T1.Q12,T1.Q12.A4
47,Evidence,100001,T1.Q13,T1.Q13.A4
48,Evidence,100001,T1.Q14,T1.Q14.A7
49,Evidence,100001,T1.Q3,T1.Q3.A1
50,Evidence,100001,T1.Q4,T1.Q4.A2
51,Evidence,100001,T1.Q7,T1.Q7.A1
52,Evidence,100001,T1.Q8,T1.Q8.A2
53,Evidence,100001,T1.Q9,T1.Q9.A3
54,Evidence,100001,T1.Q2.A1,0
55,Evidence,100001,T1.Q2.A7,0
56,Evidence,100001,T1.Q2.A8,0
57,Evidence,100001,T1.Q2.A9,0
58,Evidence,100003,T1.Q1,T1.Q1.A2
59,Evidence,100003,T1.Q10,T1.Q10.A5
60,Evidence,100003,T1.Q11,T1.Q11.A5
61,Evidence,100003,T1.Q12,T1.Q12.A4
62,Evidence,100003,T1.Q13,T1.Q13.A5
63,Evidence,100003,T1.Q14,T1.Q14.A8
64,Evidence,100003,T1.Q7,T1.Q7.A1
65,Evidence,100003,T1.Q8,T1.Q8.A3
66,Evidence,100003,T1.Q9,T1.Q9.A3
67,Evidence,100003,T1.Q2.A2,0
68,Evidence,100003,T1.Q2.A7,0
69,Evidence,100003,T1.Q2.A9,0
70,Language,1712,T1.Q10,T1.Q10.A4
71,Language,1712,T1.Q11,T1.Q11.A5
72,Language,1712,T1.Q12,T1.Q12.A1
